,PlayStation,SNES,Genesis,Nintendo 3DS,NES,Game Boy Advance,3DO,SEGA Saturn,Nintendo 64,Game Boy,Wii,Wii U,PlayStation 4,Xbox 360,PlayStation 3,Game Gear,Dreamcast,PSP,PS Vita,Xbox,PlayStation 2,Nintendo DS,GameCube,Xbox One,Neo Geo,Neo Geo CD,Neo Geo Pocket,WonderSwan,PC-FX
122,1.0,,,,,1.0,1.0,,,,,,7.0,2.0,2.0,,,,6.0,,,1.0,,1.0,,,,,
165,1.0,2.0,3.0,26.0,5.0,4.0,,1.0,,1.0,14.0,17.0,98.0,16.0,27.0,1.0,1.0,2.0,28.0,5.0,7.0,7.0,3.0,16.0,1.0,1.0,,,
56,13.0,8.0,10.0,4.0,14.0,2.0,2.0,4.0,3.0,4.0,7.0,7.0,11.0,18.0,23.0,4.0,2.0,5.0,2.0,4.0,8.0,3.0,2.0,2.0,,,,,
66,18.0,7.0,9.0,5.0,3.0,2.0,6.0,5.0,,,4.0,5.0,22.0,10.0,20.0,1.0,7.0,12.0,9.0,17.0,24.0,3.0,9.0,5.0,1.0,1.0,,,
48,103.0,60.0,57.0,31.0,28.0,59.0,10.0,28.0,21.0,24.0,90.0,23.0,112.0,97.0,168.0,16.0,36.0,78.0,45.0,91.0,182.0,43.0,55.0,20.0,37.0,25.0,,,
39,28.0,20.0,19.0,8.0,18.0,23.0,3.0,11.0,5.0,12.0,41.0,12.0,37.0,34.0,54.0,7.0,8.0,14.0,7.0,23.0,54.0,9.0,10.0,8.0,16.0,11.0,,,
133,32.0,48.0,35.0,87.0,93.0,47.0,8.0,3.0,8.0,75.0,92.0,119.0,131.0,33.0,126.0,21.0,11.0,105.0,109.0,6.0,7.0,66.0,7.0,6.0,2.0,4.0,,,
19,28.0,18.0,16.0,25.0,20.0,13.0,5.0,9.0,7.0,8.0,30.0,27.0,61.0,45.0,60.0,4.0,6.0,24.0,15.0,24.0,39.0,17.0,13.0,3.0,1.0,1.0,,,
137,5.0,2.0,1.0,5.0,,2.0,1.0,1.0,,,4.0,3.0,23.0,2.0,2.0,,,3.0,4.0,,,6.0,,2.0,,,,,
141,1.0,2.0,,2.0,1.0,2.0,,,1.0,1.0,4.0,3.0,2.0,,1.0,,,1.0,,,,6.0,,,,,,,
76,52.0,9.0,7.0,91.0,14.0,42.0,4.0,10.0,2.0,8.0,76.0,66.0,767.0,157.0,624.0,1.0,8.0,40.0,70.0,29.0,63.0,38.0,18.0,91.0,,,,,
32,28.0,21.0,24.0,8.0,22.0,7.0,,8.0,8.0,7.0,28.0,6.0,18.0,15.0,24.0,9.0,3.0,18.0,5.0,20.0,43.0,15.0,13.0,3.0,3.0,2.0,,,
132,23.0,,,4.0,,1.0,3.0,4.0,2.0,,29.0,2.0,48.0,29.0,58.0,,9.0,11.0,8.0,13.0,45.0,1.0,7.0,10.0,,,,,
57,118.0,39.0,43.0,199.0,25.0,96.0,4.0,15.0,10.0,12.0,149.0,92.0,272.0,90.0,264.0,13.0,30.0,148.0,234.0,27.0,167.0,143.0,38.0,29.0,31.0,21.0,,,
102,24.0,1.0,,5.0,,,2.0,2.0,1.0,1.0,10.0,7.0,62.0,25.0,37.0,,6.0,13.0,10.0,11.0,33.0,4.0,8.0,8.0,,,,,
216,2.0,4.0,1.0,,7.0,1.0,3.0,1.0,,2.0,5.0,,2.0,3.0,4.0,2.0,1.0,2.0,,5.0,10.0,4.0,1.0,1.0,,,,,
153,2.0,,,,,,,,1.0,,1.0,,6.0,4.0,9.0,,2.0,8.0,3.0,9.0,9.0,,2.0,1.0,,,,,
162,3.0,3.0,1.0,11.0,4.0,2.0,1.0,,1.0,4.0,9.0,7.0,6.0,5.0,4.0,1.0,,3.0,5.0,,3.0,18.0,,,,,,,
26,11.0,4.0,4.0,17.0,13.0,16.0,5.0,,6.0,7.0,51.0,12.0,20.0,23.0,33.0,1.0,3.0,17.0,14.0,10.0,21.0,34.0,13.0,2.0,,,,,
161,1.0,,,,1.0,,1.0,,,,1.0,,4.0,,,,1.0,,,,1.0,,,1.0,,,,,
215,4.0,2.0,2.0,6.0,3.0,2.0,1.0,1.0,,,8.0,1.0,14.0,18.0,24.0,,2.0,10.0,1.0,16.0,20.0,6.0,5.0,2.0,,,,,
14,7.0,11.0,7.0,2.0,14.0,3.0,1.0,3.0,,1.0,12.0,4.0,20.0,25.0,44.0,,,15.0,4.0,24.0,49.0,6.0,7.0,3.0,,,,,
118,49.0,36.0,28.0,197.0,59.0,41.0,13.0,6.0,12.0,63.0,151.0,121.0,163.0,53.0,147.0,21.0,10.0,105.0,113.0,9.0,24.0,185.0,14.0,12.0,1.0,2.0,,,
211,1.0,,,4.0,2.0,,,,,,1.0,3.0,7.0,4.0,6.0,,,3.0,1.0,2.0,1.0,3.0,1.0,1.0,,,,,
